TID	Items	Quantities	Profit	Utility
T1	1,3,5,7,9,12,13,15,17,19,21,23,25,27,29,31,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74	1,1,1,2,3,4,3,3,1,2,1,4,3,2,4,3,4,3,1,4,3,1,3,1,3,2,1,2,1,1,1,3,1,2,4,1,1	1,-2,4,4,-4,1,-1,-5,-5,-5,-2,-3,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	1,-2,4,8,-12,4,-3,-15,-5,-10,-2,-12,-9,4,-4,12,-4,-9,-2,-16,-9,-1,-12,-1,-12,-2,-5,-6,-2,-5,-4,-9,-3,-8,12,2,-4
T2	1,3,5,7,9,12,13,16,17,19,21,23,25,27,29,31,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74	2,2,4,4,1,3,4,1,2,4,2,1,3,3,1,4,3,4,2,4,4,3,2,1,1,3,4,1,1,4,2,4,2,1,4,1,2	1,-2,4,4,-4,1,-1,-4,-5,-5,-2,-3,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	2,-4,16,16,-4,3,-4,-4,-10,-20,-4,-3,-9,6,-1,16,-3,-12,-4,-16,-12,-3,-8,-1,-4,-3,-20,-3,-2,-20,-8,-12,-6,-4,12,2,-8
T3	1,3,5,7,9,11,13,15,17,20,21,23,25,27,29,31,34,36,38,40,42,44,47,48,50,52,54,56,58,60,62,64,66,68,70,72,74	4,1,2,1,4,2,1,1,2,3,4,4,3,2,2,3,3,4,3,3,3,2,3,1,3,4,3,2,1,4,4,1,2,4,2,4,1	1,-2,4,4,-4,-5,-1,-5,-5,-2,-2,-3,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-2,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	4,-2,8,4,-16,-10,-1,-5,-10,-6,-8,-12,-9,4,-2,12,-3,-12,-6,-12,-9,-2,-6,-1,-12,-4,-15,-6,-2,-20,-16,-3,-6,-16,6,8,-4
T4	1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,34,36,38,40,42,44,46,48,51,52,54,56,58,60,62,64,66,68,70,72,74	1,2,3,2,3,1,1,1,4,3,2,4,3,3,4,1,1,1,2,2,1,3,2,4,2,3,1,2,1,4,1,2,2,2,4,3,3	1,-2,4,4,-4,-5,-1,-5,-5,-5,-2,-3,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	1,-4,12,8,-12,-5,-1,-5,-20,-15,-4,-12,-9,6,-4,4,-1,-3,-4,-8,-3,-3,-8,-4,2,-3,-5,-6,-2,-20,-4,-6,-6,-8,12,6,-12
T5	1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,34,36,38,40,42,44,46,48,51,52,54,56,58,60,63,64,66,68,70,72,74	4,4,3,2,3,3,2,4,1,2,4,3,2,3,2,2,1,2,1,1,3,1,4,4,3,1,3,3,2,4,2,1,4,3,2,4,2	1,-2,4,4,-4,-5,-1,-5,-5,-5,-2,-3,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,-5,-3,-2,-5,1,-3,-3,-4,3,2,-4	4,-8,12,8,-12,-15,-2,-20,-5,-10,-8,-9,-6,6,-2,8,-1,-6,-2,-4,-9,-1,-16,-4,3,-1,-15,-9,-4,-20,2,-3,-12,-12,6,8,-8
T6	1,3,5,7,9,11,13,15,17,20,21,23,25,27,29,31,34,36,38,40,42,44,47,48,51,52,54,56,58,60,62,64,66,68,70,72,74	3,3,3,4,2,2,2,4,1,2,4,3,4,3,2,1,4,3,2,1,1,3,2,2,3,1,4,4,4,1,4,4,2,1,2,2,4	1,-2,4,4,-4,-5,-1,-5,-5,-2,-2,-3,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-2,-1,1,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	3,-6,12,16,-8,-10,-2,-20,-5,-4,-8,-9,-12,6,-2,4,-4,-9,-4,-4,-3,-3,-4,-2,3,-1,-20,-12,-8,-5,-16,-12,-6,-4,6,4,-16
T7	1,3,5,7,9,12,13,15,17,19,21,24,25,27,29,31,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74	3,1,1,2,1,4,3,3,3,2,1,2,4,3,1,2,3,2,2,2,2,2,2,1,1,1,1,4,4,4,4,2,2,2,3,2,4	1,-2,4,4,-4,1,-1,-5,-5,-5,-2,5,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	3,-2,4,8,-4,4,-3,-15,-15,-10,-2,10,-12,6,-1,8,-3,-6,-4,-8,-6,-2,-8,-1,-4,-1,-5,-12,-8,-20,-16,-6,-6,-8,9,4,-16
T8	1,3,5,7,9,11,13,15,17,19,21,24,25,27,29,31,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,65,66,68,70,72,74	4,2,1,2,1,3,2,2,4,4,1,3,4,1,2,2,4,1,1,2,1,2,2,1,2,2,3,2,3,2,1,4,3,4,1,1,4	1,-2,4,4,-4,-5,-1,-5,-5,-5,-2,5,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,4,-3,-4,3,2,-4	4,-4,4,8,-4,-15,-2,-10,-20,-20,-2,15,-12,2,-2,8,-4,-3,-2,-8,-3,-2,-8,-1,-8,-2,-15,-6,-6,-10,-4,16,-9,-16,3,2,-16
T9	1,3,5,7,9,11,13,16,17,19,21,24,25,27,29,31,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74	1,2,2,3,3,4,3,3,1,3,2,1,2,2,1,1,3,2,2,1,4,1,1,4,1,4,1,3,3,2,3,4,4,1,3,2,4	1,-2,4,4,-4,-5,-1,-4,-5,-5,-2,5,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	1,-4,8,12,-12,-20,-3,-12,-5,-15,-4,5,-6,4,-1,4,-3,-6,-4,-4,-12,-1,-4,-4,-4,-4,-5,-9,-6,-10,-12,-12,-12,-4,9,4,-16
T10	1,3,5,7,9,12,13,16,17,19,21,24,25,27,29,31,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74	3,2,2,4,1,4,3,2,4,3,2,3,4,4,4,3,4,4,4,4,1,1,2,1,4,3,2,3,4,2,2,2,3,1,1,4,1	1,-2,4,4,-4,1,-1,-4,-5,-5,-2,5,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	3,-4,8,16,-4,4,-3,-8,-20,-15,-4,15,-12,8,-4,12,-4,-12,-8,-16,-3,-1,-8,-1,-16,-3,-10,-9,-8,-10,-8,-6,-9,-4,3,8,-4
T11	1,3,5,7,9,11,13,15,17,20,21,24,25,27,29,31,34,36,38,40,42,44,47,48,50,52,54,56,58,60,62,64,66,68,70,72,74	2,1,4,3,3,3,2,2,2,1,4,1,3,1,3,2,1,3,4,1,1,2,2,1,2,2,4,3,1,3,4,4,4,2,4,4,2	1,-2,4,4,-4,-5,-1,-5,-5,-2,-2,5,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-2,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	2,-2,16,12,-12,-15,-2,-10,-10,-2,-8,5,-9,2,-3,8,-1,-9,-8,-4,-3,-2,-4,-1,-8,-2,-20,-9,-2,-15,-16,-12,-12,-8,12,8,-8
